2018-11-15 05:02:07,This isn’t even factoring in the valuation of each company’s autonomous tech. Tesla’s autonomous platform will like… https://t.co/Fy5reJ85wH
2018-11-15 05:01:56,"RT @TeslaMotorsClub: Analysis: Tesla Pickup Truck Battery Size, Range, &amp; 0-60-MPH Time #Tesla https://t.co/vC9eCyrxS7"
2018-11-15 05:01:40,RT @TeslaMotorsClub: Tesla Adds ‘Enhanced Anti-theft’ Sensor to Online Store #Tesla https://t.co/E6rbuVZHI7
2018-11-15 05:01:24,"RT @evannex_com: Here's why short seller Andrew Left changed his mind on #Tesla and why he's become a believer, view here: https://t.co/o52…"
2018-11-15 05:00:16,"On episode 3 of Tune In #Tesla, Tesla Helps At Home, #Model3 goes on tour, and #Elon takes on big tequila. Check it… https://t.co/fErYt0zRTF"
2018-11-15 04:58:57,Haha! “It definitely ruined me for any other car!” I say that everyday I drive my #TeslaModel3 #mindblown @Tesla… https://t.co/RyL30rCNv1
2018-11-15 04:57:58,"RT @AlltomTesla: Tesla Model 3 i Mall of Scandinavia. 
#Tesla #Model3 #elbil https://t.co/c5hCGiRpqI"
2018-11-15 04:54:19,#Apple Co-Founder #SteveWozniak: #Tesla Makes So Many Mistakes | Breitbart https://t.co/Htk6uL9mFH via… https://t.co/0efNcGOZJw
2018-11-15 04:48:40,RT @Model3VINs: #Tesla registered 10 new #Model3 VINs. ~100% estimated to be dual motor. Highest VIN is 181065. https://t.co/ggQPX8qNM1
2018-11-15 04:46:11,"RT @AutoExpress: As well as Tesla’s own Supercharger and Destination networks, European Tesla owners will soon be able to fast charge on th…"
2018-11-15 04:45:31,"RT @vincent13031925: In the past 24 hrs, Tesla Model 3 has appeared in many European countries for the first time, causing huge crowds. Beg…"
2018-11-15 04:45:26,"RT @vincent13031925: More and more 🌪Tesla Model 3 European Hurricane 🌪

And now in Switzerland 🇨🇭, also long waiting line in front of Tesla…"
2018-11-15 04:45:04,Who are the most successful VCs and VCs companies in #London? | Outlier success is based on the fortuitous marriage… https://t.co/NC8TjKWmhP
2018-11-15 04:43:32,RT @BizStrat4Execs: How everyone was wrong about #Tesla https://t.co/3dEbUyjVTQ
2018-11-15 04:38:37,"RT @TeslaMotorsClub: Analysis: Tesla Pickup Truck Battery Size, Range, &amp; 0-60-MPH Time #Tesla https://t.co/vC9eCyrxS7"
2018-11-15 04:37:19,"RT @TeslaMotorsClub: Analysis: Tesla Pickup Truck Battery Size, Range, &amp; 0-60-MPH Time #Tesla https://t.co/vC9eCyrxS7"
2018-11-15 04:35:04,"Attempts to denigrate #Tesla shall be no more, don't listen to the trolls.
Tesla Model 3 gets 5-star rating from U.… https://t.co/KHGpclRUxk"
2018-11-15 04:35:02,"RT @vincent13031925: Now Tesla Model 3 also in Oslo, Norway 🇳🇴 , people are lining up to see their dream car. 

🌪Model 3 Hurricane in Europ…"
2018-11-15 04:34:55,"RT @vincent13031925: Weather report: 🚨 ALERT🚨 

🌪🌪 🌪 Tesla Model 3 Hurricane in Sweden 🇸🇪 is getting out of control 🌪🌪🌪

$TSLA #Tesla #Swed…"
2018-11-15 04:34:34,"RT @vincent13031925: Long waiting line in front of the Munich, Germany 🇩🇪 Tesla’s store. Everyone is exciting to see Model 3. 

No demand l…"
2018-11-15 04:33:04,Tesla is making a motorcycle #leaked #tesla #elonmusk #spacex
2018-11-15 04:33:01,"RT @vincent13031925: Tesla Model 3 keep showing up in different countries of Europe !!

Now landed to Munich, Germany 🇩🇪 

$TSLA #Tesla #Ge…"
2018-11-15 04:32:47,"RT @vincent13031925: In the past 24 hrs, Tesla Model 3 has appeared in many European countries for the first time, causing huge crowds. Beg…"
2018-11-15 04:32:34,RT @Teslatunity: #Tesla app for Android and iOS v3.6.2 is now out with “minor fixes and improvements”. Check your app stores and update!
2018-11-15 04:32:26,"RT @AlltomTesla: Tesla Model 3 i Mall of Scandinavia. 
#Tesla #Model3 #elbil https://t.co/c5hCGiRpqI"
2018-11-15 04:32:23,"RT @vincent13031925: “Good Morning! Come and meet me today.”  

Tesla Model 3 in Barcelona, Spain 🇪🇸 

🌪🌪🌪🌪🌪🌪🌪

$TSLA #Tesla #Model3 #Spain…"
2018-11-15 04:29:19,"RT @vincent13031925: More and more 🌪Tesla Model 3 European Hurricane 🌪

And now in Switzerland 🇨🇭, also long waiting line in front of Tesla…"
2018-11-15 04:28:37,"RT @martinengwicht: @m_xalher @ValueAnalyst1 Added to ⚡️ Tesla Model3 - To Rule The World
https://t.co/rPkcUY4hYh
#EMHiveMind #TeamElon #te…"
2018-11-15 04:24:44,RT @Fieldfisher: Dyson unveils electric vehicle test track in Wiltshire https://t.co/SHETtYopdr; read @YohannaWeber's comment on why the UK…
2018-11-15 04:24:37,RT @claudiohfox: Perfect #IRR synergy imo #EV #TheSwitch #CathodeChemistry research &amp; IronRidge exploring in #Ghana &amp; #IvoryCoast for #Lith…
2018-11-15 04:23:42,"RT @TeslaOpinion: Autopilot + Tesla already &gt;6X safer than ‘all vehicles’

Tesla + AP last qtr:
1 crash/near crash / 3.3 m miles

Tesla no…"
2018-11-15 04:23:07,@elonmusk Please would you be able to takeover the energy needs for the California fire victims.  Clearly PG&amp;E does… https://t.co/wHIPwWLC5R
2018-11-15 04:15:30,"😍#Tesla #teslamotors #manhattan #newyork #nyc @ Manhattan, New York https://t.co/fFPsmYEYuG"
2018-11-15 04:06:45,"@teslainventory Our #Tesla Solar System, rated at 7.56kW, produced its highest amount of energy today.  Since Oct 3… https://t.co/b7jFGqdLYO"
